Background,Objective,Methods,Results,Conclusion,Keywords,Authors,Year,PDF Link,Title
[],[],[],N/A,N/A,N/A,Front Matters,"October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/31114/16029,Front Matters
[],[],[],N/A,N/A,N/A,Back Matters,"October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/31115/16030,Back Matters
[],['Technology acceptance model'],['Structural equation modeling'],"['platforms', 'quality', 'lending', 'ease', 'usefulness', 'consumers', 'use', 'attitudes', 'adoption', 'risk', 'findings', 'service', 'trust', 'users']","['model', 'tuning', 'platforms', 'actions', 'studies', 'plans', 'research', 'marketing', 'shown', 'findings', 'understand', 'platform', 'variables', 'adoption', 'goals', 'intention', 'putting', 'lending', 'results', 'suggest', 'including']","Adoption intention, Peer-to-peer lending, Structural equation modeling, Technology acceptance model","Rudy Sunardi, Usep Suhud, Dedi Purwana, Hamidah Hamidah","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28292/15932,Examining the Factors Contributing to Fintech Peer-to-peer Lending Adoption
"['Hospital', ""hospitals must pay attention to the quality of services and meet customers' expectations from admission to discharge stage. For an outpatient customer"", ""pharmacy is the last unit visited before discharge. It is likely to influence patient satisfaction and reflect the quality of hospital's service. However"", 'at certain hospitals', 'Hospital']","['Outpatient Service', 'Outpatient Service']",[],"['%', 'personnel', 'waiting', 'time', 'packaging', 'medicine']","['finding', 'improved', 'personnel', 'system', 'done', 'corroborate', 'analysis', 'packaging', 'effectiveness', 'Cost', 'performance', 'adding', 'stations']","Discrete Event Simulation, Hospital, Outpatient Service, Pharmacy Unit, System AnalysisBackground: To remain relevant in the customer-oriented market, hospitals must pay attention to the quality of services and meet customers' expectations from admission to discharge stage. For an outpatient customer, pharmacy is the last unit visited before discharge. It is likely to influence patient satisfaction and reflect the quality of hospital's service. However, at certain hospitals, the waiting time is long. Resources need to be deployed strategically to reduce queue time. Objective: This research aims to arrange the number of staff (pharmacists and workers) in each station in the pharmacy outpatient service to minimise the queue time.Methods: A discrete simulation method is used to observe the waiting time spent at the pharmacy. The simulation run is valid and effective to test the scenario. Results: It is recommended to add more personnel for the non-compounding medicine and packaging to reduce the waiting time by 22.41%Conclusion: By adding personnel to non-compounding and packaging stations, the system performance could be improved. Cost-effectiveness analysis should be done to corroborate the finding. Keywords:Discrete Event Simulation, Hospital, Outpatient Service, Pharmacy Unit, System Analysis","Putri Amelia, Artya Lathifah, Muhammad Dliya'ul Haq, Christoph Lorenz Reimann, Yudi Setiawan","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26288/15933,Optimising Outpatient Pharmacy Staffing to Minimise Patients Queue Time using Discrete Event Simulation
"['Simulation', 'System Dynamics', 'Traffic Congestion', 'Travel Time']","['Model', 'Simulation', 'System Dynamics', 'Traffic Congestion']","['Model', 'Simulation', 'System Dynamics']","['year', 'expansion', 'traffic congestion', 'projects', 'reduction', '%', 'project', 'contrary', 'congestion', 'simulation', 'travel time', 'traffic', 'results', 'implementation', 'highway expansion', 'time', 'efficiency', 'highway', 'travel']","['infrastructure', 'develop', 'transportation', 'system', 'implementation', 'capture', 'improvement', 'scenarios', 'Based', 'transport', 'project', 'research', 'trams', 'problem', 'view', 'needed']","Model, Simulation, System Dynamics, Traffic Congestion, Travel Time","Shabrina Luthfiani Khanza, Erma Suryani, Rully Agus Hendrawan","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28681/15934,Scenario Model to Mitigate Traffic Congestion and Improve Commuting Time Efficiency
['Kartu Prakerja'],['Sentiment Analysis'],"['Sentiment Analysis', 'Support Vector Machine', 'Text Mining', 'Radial Basis Function']","['tweets', 'prediction', 'sentiment', 'sentiments', '%', 'analysis', 'specificity', 'sensitivity', 'classification', 'data', 'values', 'results', 'accuracy', 'testing']","['classification', 'results', 'used', 'improve', 'future', 'case', 'stakeholders', 'analysis', 'inform', 'sentiment', 'programmes', 'opinion', 'show', 'findings', 'understand', 'method']","Kartu Prakerja, Sentiment Analysis, Support Vector Machine, Text Mining, Radial Basis Function","Belindha Ayu Ardhani, Nur Chamidah, Toha Saifudin","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26650/15935,Sentiment Analysis Towards Kartu Prakerja Using Text Mining with Support Vector Machine and Radial Basis Function Kernel
['Event log'],"['Event log', 'Fitness']","['Conformance Checking', 'Dwelling time', 'Event log', 'Fitness']","['fitness', 'b', 'tokens', 'algorithm', 'calculation', 'findings', 'traces']","['shows', 'model', 'fitness', 'business', 'following', 'process', 'mining']","Conformance Checking, Dwelling time, Event log, Fitness, Process Discovery, Process Mining","Bambang Jokonowo, Nenden Siti Fatonah, Emelia Akashah Patah Akhir","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28515/15936,Conformance Checking of Dwelling Time Using a Token-based Method
"['Inventory Policy', 'Supply Chain Management']",['Reinforcement Learning'],"['Inventory Policy', 'Q-Learning']","['quantities', 'constraints', 'error', 'studies', 'order', 'approach', 'trial', 'result', 'addition', 'simulations', 'finding', 'assumptions', 'time']","['leads', 'end', 'research', 'suggested', 'approach', 'supply', 'algorithms', 'implemented', 'environments', 'analysis', 'project', 'machine', 'expressed', 'have', 'Results', 'confirm', 'learning', 'combining', 'network', 'shortages']","Inventory Policy, Multi-Echelon, Reinforcement Learning, Supply Chain Management, Q-Learning",Ika Nurkasanah,"October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28766/15937,Reinforcement Learning Approach for Efficient Inventory Policy in Multi-Echelon Supply Chain Under Various Assumptions and Constraints
"['Artificial Neural Network (ANN)', 'Backpropagation', 'Kohonen Self Organizing Map (KSOM)', 'Supervised learning', 'Unsupervised learning']",['Backpropagation'],"['Artificial Neural Network (ANN)', 'Backpropagation', 'Kohonen Self Organizing Map (KSOM)']","['Rejection', 'backpropagation', '%', 'images', 'Rate', 'training', 'recognition', 'seconds', 'process', 'time', 'face', 'value', 'method']","['layers', 'training', 'recognition', 'Backpropagation', 'process', 'images', 'face', 'method']","Artificial Neural Network (ANN), Backpropagation, Kohonen Self Organizing Map (KSOM), Supervised learning, Unsupervised learning","Lady Silk Moonlight, Fiqqih Faizah, Yuyun Suprapto, Nyaris Pambudiyatno","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28191/15938,Comparison of Backpropagation and Kohonen Self Organising Map (KSOM) Methods in Face Image Recognition
"['Technology Acceptance Model', 'Technology Adoption', 'Small-medium Enterprises']",['Technology Adoption'],"['Technology Acceptance Model', 'Technology Adoption']","['user', 'studies', 'human resource management', 'research', 'acceptance', 'level', 'financial technology', 'ease', 'experience', 'technology', 'articles', 'user experience', 'context', 'factors', 'review', 'usefulness', 'use', 'areas', 'variables', 'human resource', 'resource', 'type', 'overview', 'management', 'resource management', 'range']","['highlights', 'trends', 'assist', 'user', 'studies', 'adoption', 'SMEs', 'developers', 'understanding', 'models', 'acceptance', 'field', 'factors', 'researchers', 'review']","Technology Acceptance Model, Technology Adoption, Small-medium Enterprises, Critical Review","Adisthy Shabrina Nurqamarani, Eddy Sogiarto, Nurlaeli Nurlaeli","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/27887/15939,Technology Adoption in Small-Medium Enterprises based on Technology Acceptance Model: A Critical Review
[],[],[],N/A,N/A,N/A,Front Matters,"April 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26790/14102,Front Matters
[],[],[],N/A,N/A,N/A,Back Matters,"April 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26791/14103,Back Matters
[],[],[],"['%', 'merit', 'means', 'analysis', 'admission', 'students', 'method']","['model', 'data', 'merit', 'values', 'prediction', 'accuracy', 'clustering', 'assumption', 'admission', 'based', 'students', 'has']",N/A,"Raden Gunawan Santosa, Yuan Lukito, Antonius Rachmat Chrismanto","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/22395/13988,Classification and Prediction of Students' GPA Using K-Means Clustering Algorithm to Assist Student Admission Process
[],[],[],"['%', 'results', 'test', 'quantiles', 'mixture', 'VaR', 'approach']","['model', 'test', 'using', 'VaR', 'based', 'study', 'performing', 'backtesting']",N/A,"Brina Miftahurrohmah, Catur Wulandari, Yogantara Setya Dharmawan","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/22762/13989,Investment Modelling Using Value at Risk Bayesian Mixture Modelling Approach and Backtesting to Assess Stock Risk
[],[],[],"['data', '%', 'speed', 'kernel', 'polynomial kernel', 'accuracy', 'time', 'combination', 'combinations', 'processing', 'methods', 'value']","['detection', 'overview', 'computer', 'staring', 'health', 'eyes', 'working', 'provides', 'maintain', 'fatigue', 'research', 'limit', 'places', 'screen', 'methods', 'switch']",N/A,"Faisal Dharma Adhinata, Diovianto Putra Rakhmadani, Danur Wijayanto","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/24144/13990,Fatigue Detection on Face Image Using FaceNet Algorithm and K-Nearest Neighbor Classifier
[],[],[],"['%', 'values', 'accumulation', 'trends', 'new cases', 'error', 'days', 'categories', 'correlation', 'cases', 'mobility']","['driver', 'workplaces', 'number', 'recreation', 'pharmacies', 'rate', 'spread', 'discover', 'retail', 'parks', 'groceries', 'contrast', 'mobility', 'transmission']",N/A,"Syafira Fitri Auliya, Nurcahyani Wulandari","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25241/13991,The Impact of Mobility Patterns on the Spread of the COVID-19 in Indonesia
[],[],[],"['%', 'performer', 'descent', 'accuracy', 'gradient descent', 'models', 'momentum', 'stochastic gradient descent', 'validation']","['model', 'provides', 'accuracy', 'time', 'proposed', 'has', 'takes', 'works', 'validation', 'architecture']",N/A,"Angona Biswas, Md. Saiful Islam","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/24237/13992,An Efficient CNN Model for Automated Digital Handwritten Digit Classification
[],[],[],"['mask', 'faces', 'seconds', 'execution', 'accuracy', 'time', 'execution time', 'average performance', 'images', 'performance']","['model', 'detect', 'masks', 'system', 'case', 'amount', 'times', 'performance', 'algorithms', 'warn', 'mask', 'implemented', 'used', 'execution', 'trained', 'people', 'image', 'detection', 'use', 'future', 'form', 'has', 'classification', 'data', 'time', 'wearing', 'face']",N/A,"Mohammad Farid Naufal, Selvia Ferdiana Kusuma, Zefanya Ardya Prayuska, Ang Alexander Yoshua, Yohanes Albert Lauwoto, Nicky Setyawan Dinata, David Sugiarto","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25167/13993,Comparative Analysis of Image Classification Algorithms for Face Mask Detection
[],[],[],"['data', '%', 'results', 'prediction', 'accuracy', 'testing', 'students', 'study', 'graduation', 'performance', 'result']","['teaching', 'learning', 'process', 'expected', 'universities', 'finding']",N/A,"Herman Yuliansyah, Rahmasari Adi Putri Imaniati, Anggit Wirasto, Merlinda Wibowo","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25182/13994,Predicting Students Graduate on Time Using C4.5 Algorithm
[],[],[],"['reliability', 'associations', 'scores', 'constipation', 'score', 'nausea', 'performance', 'appetite', 'relation', 'factors', 'relations', 'health', 'status', 'direction', 'performance status', 'data', 'causal', 'study', 'insomnia', 'loss']","['model', 'evidence', 'quality', 'increase', 'studies', 'cancer', 'research', 'based', 'problem', 'providers', 'shown', 'patients', 'capture', 'provide', 'expected', 'strategies', 'health', 'variables', 'care', 'recommendation', 'view', 'include', 'results', 'suggest', 'designing', 'life']",N/A,"Yohani Setiya Rafika Nur, Ridho Rahmadi, Christantie Effendy","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25685/13995,Causal Modeling Between Factors on Quality of Life in Cancer Patients Using S3C-Latent Algorithm
[],[],[],"['variable', 'influence', 'quality', '%', 'results', 'implementation', 'instruments', 'tests', 'hypothesis', 'teamwork']","['software', 'quality', 'implementation', 'has', 'correlation', 'teamwork', 'development']",N/A,"Ady Hermawan, Lindung Parningotan Manik","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25904/13996,The Effect of DevOps Implementation on Teamwork Quality in Software Development
[],[],[],N/A,N/A,N/A,Front Matter,N/A,https://e-journal.unair.ac.id/JISEBI/article/view/23056/12633,Front Matters
[],[],[],N/A,N/A,N/A,Back Matter,N/A,https://e-journal.unair.ac.id/JISEBI/article/view/23058/12634,Back Matters
[],[],[],N/A,"['parties', 'use', 'teachers', 'inform', 'parents', 'research', 'guiding', 'findings', 'children', 'school', 'Internet']",N/A,"Khalid Khalid, Indri Sudanawati Rozas, Dwi Rolliawati","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18382/12440,Trends and Patterns of The Internet Use During School Holidays
[],[],[],"['experiment design', 'object', 'radar system', 'design', 'speed', 'sensor', 'system', 'accuracy', 'efficiency', 'experiment', 'works', 'radar', 'method']","['detect', 'system', 'find', 'taken', 'object', '%', 'set', 'velocity', 'environment', 'radar', 'objects', 'shapes', 'data', 'limitation', 'accuracy', 'distance', 'efficiency', 'cm', 'provided']",N/A,"Angona Biswas, Sabrina Abedin, Md. Ahasan Kabir","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18840/12441,"Moving Object Detection Using Ultrasonic Radar with Proper Distance, Direction, and Object Shape Analysis"
[],[],[],"['%', 'dataset', 'classes', 'precision', 'measure', 'accuracy', 'value', 'analysis', 'recall', 'performance', 'aspects', 'sentiments']","['data', 'used', 'agree', 'algorithm', 'perspective', 'COVID-19', 'sentiment', 'government', 'dealing', 'people', 'policies', 'performance', 'predict']",N/A,"Pulung Hendro Prastyo, Amin Siddiq Sumi, Ade Widyatama Dian, Adhistya Erna Permanasari","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/19624/12442,Tweets Responding to the Indonesian Government's Handling of COVID-19: Sentiment Analysis Using SVM with Normalized Poly Kernel
[],[],[],"['model', 'Random Forest', 'ways', '%', 'procedure', 'time', 'score', 'models', 'terms', 'Decision Tree', 'development']","['model', 'likelihood', 'responses', 'used', 'improve', 'owners', 'management', 'predicting', 'peer', 'listings', 'models', 'accommodation', 'booking', 'revenue', 'forest', 'performance']",N/A,"Mochammad Agus Afrianto, Meditya Wasesa","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/20098/12443,"Booking Prediction Models for Peer-to-peer Accommodation Listings using Logistics Regression, Decision Tree, K-Nearest Neighbor, and Random Forest Classifiers"
[],[],[],"['statement', 'tag', 'dynamic content', 'operator', 'filter', 'maximum', 'sentence', 'application', 'POS tagger', 'clause', 'function', 'logical operator', 'content', 'replace', 'type', 'conjunction', 'message', 'limitation', 'attribute', 'tagger', 'dissemination']","['%', 'used', 'using', 'accuracy', 'content', 'sample', 'messages', 'framework', 'dissemination', 'message']",N/A,"Tora Fahrudin, Kastaman Kastaman, Sherin Nadya Meideni, Padma Edhitya Chairunnisafa Priyono, Muhammad Galang Fathirkina, Samira Samira","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/19650/12444,Smart Dissemination by Using Natural Language Processing Technology
[],[],[],"['candidates', 'profile', 'precision', 'words', 'accuracy', 'expertise', 'average precision', 'supervisor', 'grouping', 'lecturer', 'student']","['information', 'system', 'thesis', 'content', 'supervisor', 'proposed', 'retrieval', 'recommender']",N/A,"Maresha Caroline Wijanto, Rachmi Rachmadiany, Oscar Karnalim","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/21241/12445,Thesis Supervisor Recommendation with Representative Content and Information Retrieval
[],[],[],"['image size', 'test', 'size', 'resolution', 'length', 'change', 'image', 'SSIM', 'number', 'message', 'characters', 'stego', 'results', 'secret message', 'study', 'success']","['steganography', 'according', 'number', 'done', 'stretch', 'enlarge', 'development', 'combination', 'messages', 'research', 'technique', 'image']",N/A,"Muhammad Khoiruddin Harahap, Nurul Khairina","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/21780/12446,Dynamic Steganography Least Significant Bit with Stretch on Pixels Neighborhood
[],[],[],"['knowledge', 'privacy settings', 'privacy', 'research', 'students', 'college', 'users', 'ease', 'skills', 'factors', 'college students', 'trust', 'number', 'intention', 'finding', 'information', 'misuse', 'reputation', 'danger', 'settings']","['post', 'information', 'influence', 'increase', 'behavior', 'affect', 'risk', 'privacy', 'students', 'awareness', 'college', 'concern']",N/A,"Eko Wahyu Tyas Darmaningrat, Hanim Maria Astuti, Fadhila Alfi","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/22106/12447,Information Privacy Concerns Among Instagram Users: The Case of Indonesian College Students
[],[],[],N/A,N/A,N/A,Front and Back Matters,"April 28, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18883/10276,Front Matters
[],[],[],N/A,N/A,N/A,Front and Back Matters,"April 28, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18881/10278,Back Matters
[],[],[],"['results', 'sentiment', 'numbers']","['model', 'decision', 'system', 'sentiment', 'research', 'According', 'performance', 'predict', 'algorithms', 'provides', 'customers', 'analysis', 'services', 'tree', 'result', 'develop', 'use', 'classification', 'shows', 'data', 'results']",N/A,"Alifia Revan Prananda, Irfandy Thalib","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/16536/10193,Sentiment Analysis for Customer Review: Case Study of GO-JEK Expansion
[],[],[],"['hate', 'results', 'media', 'words', 'tribes', 'social media', 'approach', 'speech', 'lexicon']","['detection', 'hate', 'produce', 'sampling', 'words', 'tribes', 'using', 'approach', 'speech', 'based', 'conducted', 'technique', 'lexicon']",N/A,"Mardhiya Hayaty, Sumarni Adi, Anggit Dwi Hartanto","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/17372/10194,Lexicon-Based Indonesian Local Language Abusive Words Dictionary to Detect Hate Speech in Social Media
[],[],[],"['cloud services', 'computation', 'smart device', 'management', 'error', 'resource management', 'simulations', 'handling', 'framework', 'device', 'resource', 'cloud', 'services', 'users', 'devices', 'architecture']","['model', 'expectations', 'launched', 'scope', 'used', 'shown', 'linked', 'author', 'research', 'device', 'based', 'area', 'cloud', 'service', 'success', 'storage', 'method']",N/A,Tanweer Alam,"April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/17366/10195,"Device-to-Device Communications in Cloud, MANET and Internet of Things Integrated Architecture"
[],[],[],"['case file', 'programmers', 'case', 'test', 'tool', 'show', 'cases', 'level', 'tools', 'tests', 'entry', 'file', 'results', 'evaluation', 'scenario', 'test cases']","['programmers', 'generate', 'test', 'user', 'tool', 'help', 'case', 'applications', 'web', 'testing', 'make', 'entry', 'users', 'level']",N/A,"Indra Kharisma Raharjana, Fadel Harris, Army Justitia","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18082/10196,Tool for Generating Behavior-Driven Development Test-Cases
[],[],[],"['measurement error', 'foot width', 'results', 'length', 'foot', 'error', 'cm', 'foot length', 'width', 'measurement', 'method']","['shows', 'model', 'solution', 'complexity', 'produce', 'sensor', 'reduce', 'system', 'foot', 'proposed', 'configuration', 'angles', 'result']",N/A,"Doni Setio Pambudi, Lailatul Hidayah","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18093/10197,Foot 3D Reconstruction and Measurement using Depth Data
[],[],[],"['anxiety', 'consistency', 'teaching', 'subjects', 'mixes', 'quiz', 'activities', 'students', 'presentation', 'student', 'classroom', 'testing']","['monitoring', 'anxiety', 'knowledge', 'exam', 'research', 'students', 'presentation', 'tested', 'need', 'world', 'subjects', 'drawback', 'lecturer', 'transfer', 'improving', 'classroom', 'change', 'rate', 'behavior', 'future', 'measure', 'way', 'studying', 'have', 'student', 'act', 'teacher', 'minutes', 'configure', 'classes', 'question', 'efficiency', 'seminar', 'minute', 'Heart', 'education']",N/A,"Hadi Helmi Md Zuraini, Waidah Ismail, Rimuljo Hendradi, Army Justitia","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18166/10198,Students Activity Recognition by Heart Rate Monitoring in Classroom using K-Means Classification
[],[],[],"['year', 'Hemorrhagic Fever', 'visualization', 'dashboard', 'trends', 'predictions', 'patient', 'number', 'recommendation', 'Community Health', 'mitigation', 'detail', 'results', 'method']","['weaknesses', 'needs', 'using', 'conducting', 'performance', 'development', 'level', 'built', 'treatment', 'technology', 'get', 'factors', 'improving', 'determine', 'use', 'virtualization', 'understanding', 'cloud', 'ETL', 'data', 'considering', 'success', 'computing', 'method']",N/A,"Radityo Prasetianto Wibowo, Wiwik Anggraeni, Tresnaning Arifiyah, Edwin Riksakomara, Febriliyan Samopa, Pujiadi Pujiadi, Siti Aminatus Zehroh, Nur Aini Lestari","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18167/10199,Business Intelligence Development in Distributed Information Systems to Visualized Predicting and Give Recommendation for Handling Dengue Hemorrhagic Fever
[],[],[],"['research', 'whole', 'level', 'governance', 'technology', 'big data', 'analytics', 'adoption', 'Infrastructure', 'company', 'data', 'data management', 'dimensions', 'implementation', 'management', 'data technology']","['model', 'exist', 'manufacturing', 'interview', 'guides', 'level', 'technology', 'retrieval', 'companies', 'use', 'measure', 'tools', 'adoption', 'indicators', 'methods', 'data', 'considering', 'maturity', 'dimensions']",N/A,"Fitri Retrialisca, Umi Chotijah","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18116/10200,The Maturity Measurement of Big Data Adoption in Manufacturing Companies Using the TDWI Maturity Model
[],[],[],"['data', 'review', 'user', 'perception', 'aspects', 'method']","['suits', 'weaknesses', 'seeker', 'based', 'need', 'ratings', 'determined', 'provide', 'provides', 'analysis', 'review', 'job', 'companies', 'assistance', 'strengths', 'company', 'aspects', 'decide', 'information', 'parties', 'ability', 'help', 'study']",N/A,"Nasa Zata Dina, Nyoman Juniarta","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18104/10201,Aspect based Sentiment Analysis of Employee's Review Experience
[],"['Emoticon', 'Sarcasm']","['Emoticon', 'Naí¯ve Bayes Classifier', 'Random Forest Classifier', 'Sarcasm', 'Support Vector Machine']","['detection', 'emoticon', 'use', 'accuracy', 'process', 'analysis', 'sentiment', 'sarcasm', 'sentiment analysis', 'value', 'method']","['detection', 'data', 'results', 'differences', 'use', 'amount', 'using', 'accuracy', 'emoticons', 'process', 'Based', 'analysis', 'sentiment', 'research', 'sarcasm', 'affects', 'value', 'method']","Emoticon, Naí¯ve Bayes Classifier, Random Forest Classifier, Sarcasm, Support Vector Machine","Debby Alita, Sigit Priyanta, Nur Rokhman","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12101/8497,Analysis of Emoticon and Sarcasm Effect on Sentiment Analysis of Indonesian Language on Twitter
"['Plagiarism detection', 'Source code']","['Plagiarism detection', 'Source code']",[],"['assistants', 'evaluation', 'teaching', 'accuracy', 'tasks', 'time', 'library', 'completion']","['detection', 'source', 'assistants', 'teaching', 'tools', 'library', 'code', 'plagiarism', 'development']","Language independency, Plagiarism detection, Reusable library, Source code, Tool development","Ricardo Franclinton, Oscar Karnalim","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12851/8498,A Language-Independent Library for Observing Source Code Plagiarism
"['Constrained Optimization', 'Production Planning']","['Linear Programming', 'Production Planning']","['Genetic Algorithm', 'Particle Swarm Optimization', 'Production Planning']","['solution', 'mutation', 'chance', 'optimal solution', 'middle', 'iteration', 'improvement', 'simulations', 'position', 'probability', 'particle']","['solution', 'spent', 'planning', 'improve', 'give', 'simulations', 'show', 'cost', 'company']","Constrained Optimization, Genetic Algorithm, Linear Programming, Particle Swarm Optimization, Production Planning","Dinita Rahmalia, Teguh Herlambang, Thomy Eko Saputro","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/11799/8499,Fertilizer Production Planning Optimization Using Particle Swarm Optimization-Genetic Algorithm
"['Business', 'Requirement']","['Business', 'Modern Business', 'Environment', 'Requirement', 'Methodology']","['Business Context', 'Business', 'Modern Business', 'Environment', 'Requirement', 'Methodology']",N/A,"['classification', 'requirements', 'pot', 'types', 'gathering', 'system', 'elicitation', 'advantages', 'proposed', 'definition', 'has', 'linkage', 'synthesis', 'acts', 'loss', 'approach', 'development']","Business Context, Business, Intelligence, Business Networks, Protocols, Modern Business, Environment, Operational Business, Intelligence    Requirement,  Elicitation, Requirement, Methodology",A.D.N. Sarma,"October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/13749/8500,One-Pot Synthesis of Requirements Elicitation for Operational BI (OBI) System: in the Context of the Modern Business Environment
[],['Untethering the Queue'],"['First Come First Serve', 'SMS', 'Telegram', 'Untethering the Queue']",N/A,"['leads', 'Patients', 'health', 'queue', 'service', 'waiting', 'time', 'comfort', 'come', 'hospital', 'numbers']","First Come First Serve, Multi Channel Access, SMS, Telegram, Untethering the Queue","Dharma Dyatmika, Oka Sudana, Gusti Agung A. Putri","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12572/8501,Untethering the Queue based on Multi Channel Access (MCA) Technology at Hospital Radiology Section
[],[],[],"['model', 'hypotheses', 'findings']","['had', 'effect', 'information', 'quality', 'were', 'system', 'use', 'user', 'benefits', 'satisfaction', 'service']","DeLone and McLean model,E-Commerce Success, Information System Success Measurement, IS Success Model","Ruth Johana Angelina, Aji Hermawan, Arif Imam Suroso","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/13579/8502,Analyzing E-Commerce Success using DeLone and McLean Model
['Multimodal transportation'],"['Graph database', 'Multimodal transportation', 'Neo4j', 'Cypher']",[],N/A,"['model', 'data', 'implemented', 'query', 'transportation', 'mode', 'implementation', 'using', 'paths', 'routes', 'distinguish', 'developed', 'display', 'route', 'conducted', 'Searching']","Graph database, Multimodal transportation, Neo4j, Cypher","Panji Wisnu Wirawan, Djalal Er Riyanto, Dinar Mutiara Kusumo Nugraheni, Yasmin Yasmin","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12013/8503,Graph Database Schema for Multimodal Transportation in Semarang
['Information Retrieval'],"['Genetic Algorithm', 'Information Retrieval', 'Indonesian language document', 'Relevance Feedback']","['Genetic Algorithm', 'Information Retrieval', 'Mean Average Precision', 'Relevance Feedback']","['mutation', 'increase', 'population size', 'Indonesian language', 'probability', 'language', 'size', 'news', '%', 'Information Retrieval System', 'thesis', 'parameters', 'dataset', 'Information Retrieval', 'crossover', 'document', 'values', 'results', 'improvement', 'population', 'position', 'recall', 'value']","['mutation', 'probability', 'based', 'size', 'feedback', 'query', 'length', 'depends', 'parameters', 'dataset', 'crossover', 'follows', 'values', 'document', 'relevance', 'population', 'position', 'recall']","Genetic Algorithm, Information Retrieval, Indonesian language document, Mean Average Precision, Relevance Feedback","Salman Dziyaul Azmi, Retno Kusumaningrum","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/13548/8504,Relevance Feedback using Genetic Algorithm on Information Retrieval for Indonesian Language Documents
"['Business Process', 'Temporal Causal Relation', 'Double Timestamp Event Log']","['Business Process', 'Temporal Causal Relation', 'Double Timestamp Event Log']","['Business Process', 'Temporal Causal Relation']","['log', 'timestamp', 'logs', 'business process', 'relation', 'causal relation', 'business', 'models', 'event logs', 'results', 'event', 'process', 'event log', 'life']","['log', 'Considering', 'business', 'event', 'timestamp', 'using', 'process', 'discovered', 'relation', 'models', 'study', 'findings', 'relations']","Business Process, Process Discovery, Process Mining, Temporal Causal Relation, Double Timestamp Event Log","Yutika Amelia Effendi, Nania Nuzulita","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/15040/8505,Process Discovery of Business Processes Using Temporal Causal Relation
