Background,Objective,Methods,Results,Conclusion,Keywords,Authors,Year,PDF Link,Title
"The confidentiality of a message may at times be compromised. Steganography can hide such a message in certain media. Steganographic media such as digital images have many pixels that can accommodate secret messages. However, the length of secret messages may not match with the number of image pixels so the messages cannot be inserted into the digital images.",This research aims to see the dynamics between an image size and a secret message's length in order to prevent out of range messages entered in an image.,This research will combine the Least Significant Bit (LSB) method and the Stretch technique in hiding secret messages. The LSB method uses the 8th bit to hide secret messages. The Stretch technique dynamically enlarges the image size according to the length of the secret messages. Images will be enlarged horizontally on the rightmost image pixel block until n blocks of image pixels.,"This study compares an original image size and a stego image size and examines a secret message's length that can be accommodated by the stego image, as well as the Mean Square Error and Structure Similarity Index. The test is done by comparing the size change of the original image with the stego image from the Stretch results, where each original image tested always changes dynamically according to the increasing number of secret message characters. From the MSE and SSIM test results, the success was only with the first image, while the second image to the fourth image remained erroneous because they also did not have the same resolution.","The combination of LSB steganography and the Stretch technique can enlarge an image automatically according to the number of secret messages to be inserted. For further research development, image stretch must not only be done horizontally but also vertically.",N/A,"Muhammad Khoiruddin Harahap, Nurul Khairina","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/21780/12446,Dynamic Steganography Least Significant Bit with Stretch on Pixels Neighborhood
"Teenagers in Indonesia have an open nature and satisfy their desire to exist by uploading photos or videos and writing posts on Instagram. The habit of uploading photos, videos, or writings containing their personal information can be dangerous and potentially cause user privacy problems. Several criminal cases caused by information misuse have occurred in Indonesia.","This paper investigates information privacy concerns among Instagram users in Indonesia, more specifically amongst college students, the largest user group of Instagram in Indonesia.",This study referred to the Internet Users' Information Privacy Concerns (IUIPC) method by collecting data through the distribution of online questionnaires and analyzed the data by using Structural Equation Modelling (SEM).,"The research finding showed that even though students are mindful of the potential danger of information misuse in Instagram, it does not affect their intention to use Instagram. Other factors that influence Indonesian college students' trust are Instagram's reputation, the number of users who use Instagram, the ease of using Instagram, the skills and knowledge of Indonesian students about Instagram, and the privacy settings that Instagram has.","The awareness and concern of Indonesian college students for information privacy will significantly influence the increased risk awareness of information privacy. However, the increase in risk awareness does not directly affect Indonesian college students' behavior to post their private information on Instagram.",N/A,"Eko Wahyu Tyas Darmaningrat, Hanim Maria Astuti, Fadhila Alfi","October 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/22106/12447,Information Privacy Concerns Among Instagram Users: The Case of Indonesian College Students
N/A,N/A,N/A,N/A,N/A,N/A,Front and Back Matters,"April 28, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18883/10276,Front Matters
N/A,N/A,N/A,N/A,N/A,N/A,Front and Back Matters,"April 28, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18881/10278,Back Matters
"Market prediction is an important thing that needs to be analyzed deeply. Business intelligence becomes an important analysis procedure for analyzing the market demand and satisfaction. Since business intelligence needs a deep analysis, sentiment analysis becomes a powerful algorithm for analyzing customer review regarding to the business intelligence analysis.","In this study, we perform a sentiment analysis for identifying the business intelligence analysis in GO-JEK.","We use Twitter posts collected from the Twint library which consists of 3111 tweets. Since the dataset did not provide a ground truth, we perform Microsoft Text Analytic for determining positive, neutral, and negative sentiment. Before applying Microsoft Text Analytic, we conduct a pre-processing step to remove the unwanted data such as duplicate tweets, image, website address, etc.","According to the Microsoft Text Analytic, the results are 666 positive sentiment numbers, 2055 neutral sentiment numbers, and 127 negative sentiment numbers.","According to these results, we conclude that most GO-JEK customers are satisfied with the GO-JEK services. In this research, we also develop classification model to predict the sentiment analysis of new data. We use some classifier algorithms such as Decision Tree, Naí¯ve Bayes, Support Vector Machine and Neural Network. In the result, the system shows      that the decision tree provides the best performance.",N/A,"Alifia Revan Prananda, Irfandy Thalib","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/16536/10193,Sentiment Analysis for Customer Review: Case Study of GO-JEK Expansion
"Hate speech is an expression to someone or a group of people that contain feelings of hate and/or anger at people or groups. On social media users are free to express themselves by writing harsh words and share them with a group of people so that it triggers separations and conflicts between groups. Currently, research has been conducted by several experts to detect hate speech in social media namely machine learning-based and lexicon-based, but the machine learning approach has a weakness namely the manual labelling process by an annotator in separating positive, negative or neutral opinions takes time long and tiring","This study aims to produce a dictionary containing abusive words from local languages in Indonesia. Lexicon-base is very dependent on the language contained in dictionary words. Indonesia has thousands of tribes with 2500 local languages, and 80% of the population of Indonesia use local languages in communication, with the result that a significant challenge to detect hate speech of social media.","Abusive words surveys are conducted by using proportionate stratified random sampling techniques in 4 major tribes on the island of Java, namely Betawi, Sundanese, Javanese, Madurese",The experimental results produce 250 abusive words dictionary from 4 major Indonesian tribes to detect hate speech in Indonesian social media by using the lexicon-based approach.,A stratified random sampling technique has been conducted in 4 major Indonesian tribes to produce 250 abusive words for hate speech detection using the lexicon-based approach.,N/A,"Mardhiya Hayaty, Sumarni Adi, Anggit Dwi Hartanto","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/17372/10194,Lexicon-Based Indonesian Local Language Abusive Words Dictionary to Detect Hate Speech in Social Media
The wireless networks make it easier for users to connect with each other in the sense of the Internet of Things (IoT) system. The cloud and MANET convergence offer the services for cloud access within MANET of devices connected.,The main objective of this research is to establish a cloud-based ad-hoc network architecture for the communication among smart devices under the 5G based Internet of Things architecture.,"The methods are applied to discover the smart devices using probability-based model, hidden Markov model and gradient-based model.","A cloud-MANET architecture of the smart device is constructed with cloud and MANET computation. The framework allows MANET users to access and deliver cloud services through their connected devices, where all simulations, error handling, and resource management are implemented.",The MANET service has been launched as well as linked to the cloud by the mobile device. The author used the amazon cloud storage service. This research produces a conceptual model that is based on the ubiquitous method. It is shown the success in this area and expectations for future scope.,N/A,Tanweer Alam,"April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/17366/10195,"Device-to-Device Communications in Cloud, MANET and Internet of Things Integrated Architecture"
"Testing using Behavior-Driven Development (BDD) techniques is one of the practices of Agile software development. This technique composes a test-case based on a use case scenario, for web application acceptance tests.","In this study, we developed a tool to generate test case codes from BDD scenario definitions to help and facilitate practitioners to conduct testing.","The generated test case code is made according to the codeception framework format so that it can be directly executed by the tester. The procedure is performed as follows:  map the correlation of the language used in BDD (gherkin language) and the code syntax of the test code in the codeception framework, designed the GUIs in such a way that users can easily transform the Use Case Scenario, built the tool so that it can generate test cases codes. Evaluation is done by gathering respondents; ask to run the application and gathering feedback from respondents.",This tool can generate a codeception test-case file based on the BDD scenario. Generated test cases can be directly used on codeception tools. The results of the evaluation show that the tools can help entry-level programmers in developing automated tests.,The tool can help user especially entry-level programmers to generate BDD test-case and make easy for the users for testing the web applications.,N/A,"Indra Kharisma Raharjana, Fadel Harris, Army Justitia","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18082/10196,Tool for Generating Behavior-Driven Development Test-Cases
"The need for shoes with non-standard sizes is increasing, but this is not followed by the competence to measure the foot effectively. The high cost of such an instrument in the market has led to the development of a precise yet affordable measurement system.",This research attempts to solve the measuring problem by employing an automatic instrument utilizing a depth image sensor that is available on the market at an affordable price.,Data from several Realsense sensors that have been preprocessed are combined using transformation techniques and noise cleaning is performed afterward. Finally the 3D model of the foot is ready and hence the length and width can be obtained.,"The experimental results show that the proposed method produces a measurement error of 0.351 cm in foot length, and 0.355 cm in foot width.",The result shows that multiple angles of a static Realsense sensor can produce a good 3D foot model automatically. This proposed system configuration can reduce complexity as well as being an affordable solution.,N/A,"Doni Setio Pambudi, Lailatul Hidayah","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18093/10197,Foot 3D Reconstruction and Measurement using Depth Data
"Heartbeat playing the main roles in our life. With the heartbeat, the anxiety level can be known. Most of the heartbeat is used in the exercise. Heart rate measurement is unique and uncontrollable by any human being.","This research aims to learn student's actions by monitoring the heart rate. In this paper, we are measuring the student reaction and action in classroom can give impact on teacher's way of delivery when in the teaching session. In monitoring, student's behavior may give feedback whether the teaching session have positive or negative outcome.","The method we use is K-Means algorithm. Firstly, we need to know the student's normal heartbeat as benchmark. We used Hexiware for collecting data from students' hear beat. We perform the classification where K is benchmark students' heartbeat. K-Means algorithm performs classification of the heart rate measurement of students.","We did the testing for five students in different subjects. It shows that all students have anxiety during the testing and presentation. Its consistency because we tested 5 students with mixes activities in the classroom, where the student has quiz, presentation and only teaching.","Heart rate during studying in the classroom can change the education world in improving the efficiency of knowledge transfer between student and teacher. This research may act as basic way in monitoring student behavior in the classroom. We have tested for 5 students. Three students have their anxiety in classroom during the exam, presentation, and question. Two students have normal rate during the seminar and lecturer. The drawback, Hexiware is capturing average of ten minutes and tested in different classes and students. In future, we need just measure one student for all the subjects and Hexiware need to configure in one minute.",N/A,"Hadi Helmi Md Zuraini, Waidah Ismail, Rimuljo Hendradi, Army Justitia","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18166/10198,Students Activity Recognition by Heart Rate Monitoring in Classroom using K-Means Classification
"Indonesia has 150 dengue cases every month, and more than one person dies every day from 2017 to 2020. One of the factors of Dengue Hemorrhagic Fever (DHF) patients dying is due to the late handling of patients in hospitals or clinics. Health Office of Malang Regency recorded 1,114 cases of DHF that occurred during 2016, and the number of patients room available is limited. Therefore, Malang Regency is used as a case study in this research.","This study aims to make a dashboard to display the predictions, visualize the distribution of DHF patients, and give mitigation recommendations for handling DHF patients in Malang Health Office.","This study used the Business Intelligence (BI) Development method, which consists of two main phases, namely the making of Business Intelligence and the use of Business Intelligence. This research used the making of the BI phase, which consists of four stages, which are BI development strategies, identification and preparation of data sources, selecting BI tools, and designing and implementing BI. In the Extract, Load, and Transform process, this study used essential transformation and forecast.","BI method has succeeded in building the dashboard. The dashboard displays the visualization of Dengue Hemorrhagic Fever predicted results, detail of Dengue Fever Patient number, Dengue Fever patient trends per year and predictions 2 Monthly patient, and mitigation recommendation for each Community Health Office.","We have built the BI Dashboard using the BI development method. It needs some treatment to get better performance. These are improving ETL performance using data virtualization technology, considering the use of cloud computing technology, conducting further evaluations by understanding the critical success factors to determine the level of success and weaknesses.",N/A,"Radityo Prasetianto Wibowo, Wiwik Anggraeni, Tresnaning Arifiyah, Edwin Riksakomara, Febriliyan Samopa, Pujiadi Pujiadi, Siti Aminatus Zehroh, Nur Aini Lestari","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18167/10199,Business Intelligence Development in Distributed Information Systems to Visualized Predicting and Give Recommendation for Handling Dengue Hemorrhagic Fever
"Big data technology has been used in several sectors in Indonesia. Adoption of big technology provides great potential for research, especially achievement in the implementation of big data in manufacturing companies. The Data Warehousing Institute (TDWI) Maturity Model is a tool that can be used to measure the state of ""As-is"" implementation of big data using 5 main dimensions. Maturity level shows the level of organizational ability to adjust big data technology currently.","This study aims to measure the level of maturity in the implementation of big data technology in manufacturing companies PT. XYZ. This measurement is considered very important because it can know the process of managing data that is structured and has a high volume of data and provides more transparent reporting. This can help the company in making decisions that provide good information, so the company can increase the trust of stakeholders.",This study uses qualitative methods to analyze research data using TWDI Maturity Model tools. Interview technique is used to retrieve respondent data where interview preparation guidelines are made by paying attention to 5 dimensions and 50 indicators in TDWI.,"The research showed that the implementation of big data technology in the company as a whole has reached the level of corporate adoption. Infrastructure, data management, and analytics dimensions have reached the corporate adoption level while the organizational and governance dimensions are still at an early adoption level.","To measure the maturity level of adoption of big data technology in manufacturing companies can use qualitative methods with TDWI Maturity model tools, interview guides for data retrieval by considering the 5 dimensions and 50 indicators that exist in TDWI.",N/A,"Fitri Retrialisca, Umi Chotijah","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18116/10200,The Maturity Measurement of Big Data Adoption in Manufacturing Companies Using the TDWI Maturity Model
"Employees of technology companies evaluate their experience through online reviews. Online reviews of companies from employees or former employees help job seeker to find out the weaknesses and strengths of the companies.  The reviews can be used as an evaluation tool for each technology company to understand their employee's perceptions. However, most information on online reviews is not well responded since some of the detailed information of the company is missing.","This study aims to generate an Aspect-based Sentiment Analysis using user review data. The review data were then extracted and classified into five aspects: work balance, culture value, career opportunities, company benefit, and management. The output of this study is the aspect score from each company.","This study suggests a method to analyze online reviews from employees in detail, so it can prevent the missing of specific information. The analysis was sequentially carried out in five stages. First, user review data were crawled from Glassdoor and stored in a database. Second, the raw data were processed in the data pre-processing stage to delete the incomplete data. Third, the words other than noun keyword were eliminated using Standford POS Tagger. Fourth, the noun keywords were then classified into each aspect. Finally, the aspect score was calculated based on the aspect-based sentiment analysis.",Result showed that the proposed method managed to turn raw review data into five aspects based on user perception.,"The study provides information for two parties, job seeker and the company. The analysis of the review could help the job seeker to decide which company that suits his need and ability. For the companies, it can be a great assistance because they will be more aware of their strengths and weaknesses. This study could possibly also provide ratings to the companies based on the aspects that have been determined.",N/A,"Nasa Zata Dina, Nyoman Juniarta","April 27, 2020",https://e-journal.unair.ac.id/JISEBI/article/view/18104/10201,Aspect based Sentiment Analysis of Employee's Review Experience
"Indonesia is an active Twitter user that is the largest ranked in the world. Tweets written by Twitter users vary, from tweets containing positive to negative responses. This agreement will be utilized by the parties concerned for evaluation.","On public comments there are emoticons and sarcasm which have an influence on the process of sentiment analysis. Emoticons are considered to make it easier for someone to express their feelings but not a few are also other opinion researchers, namely by ignoring emoticons, the reason being that it can interfere with the sentiment analysis process, while sarcasm is considered to be produced from the results of the sarcasm sentiment analysis in it.","The emoticon and no emoticon categories will be tested with the same testing data using classification method are Naí¯ve Bayes Classifier and Support Vector Machine. Sarcasm data will be proposed using the Random Forest Classifier, Naí¯ve Bayes Classifier and Support Vector Machine method.",The use of emoticon with sarcasm detection can increase the accuracy value in the sentiment analysis process using Naí¯ve Bayes Classifier method.,"Based on the results, the amount of data greatly affects the value of accuracy. The use of emoticons is excellent in the sentiment analysis process. The detection of superior sarcasm only by using the Naí¯ve Bayes Classifier method due to differences in the amount of sarcasm data and not sarcasm in the research process.","Emoticon, Naí¯ve Bayes Classifier, Random Forest Classifier, Sarcasm, Support Vector Machine","Debby Alita, Sigit Priyanta, Nur Rokhman","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12101/8497,Analysis of Emoticon and Sarcasm Effect on Sentiment Analysis of Indonesian Language on Twitter
"Most source code plagiarism detection tools are not modifiable. Consequently, when a modification is required to be applied, a new detection tool should be created along with it. This could be a problem as creating the tool from scratch is time-inefficient while most of the features are similar across source code plagiarism detection tools.","To alleviate researchers' effort, this paper proposes a library for observing two plagiarism-suspected codes (a feature which is similar across most source code plagiarism detection tools).","Unique to this library, it is not constrained by the selected programming language for development. It is executed from command line, which is supported by most programming languages.","According to our evaluation, the library is integrable and functional. Moreover, the library can enhance teaching assistants' accuracy and reduce the tasks' completion time.","The library can be beneficial for the development of source code plagiarism detection tools since it is integrable, functional, and helpful for teaching assistants.","Language independency, Plagiarism detection, Reusable library, Source code, Tool development","Ricardo Franclinton, Oscar Karnalim","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12851/8498,A Language-Independent Library for Observing Source Code Plagiarism
The applications of constrained optimization have been developed in many problems. One of them is production planning. Production planning is the important part for controlling the cost spent by the company.,"This research identifies about production planning optimization and algorithm to solve it in approaching. Production planning model is linear programming model with constraints : production, worker, and inventory.","In this paper, we use heurisitic Particle Swarm Optimization-Genetic Algorithm (PSOGA) for solving production planning optimization. PSOGA is the algorithm combining Particle Swarm Optimization (PSO) and mutation operator of Genetic Algorithm (GA) to improve optimal solution resulted by PSO. Three simulations using three different mutation probabilies : 0, 0.01 and 0.7 are applied to PSOGA. Futhermore, some mutation probabilities in PSOGA will be simulated and percent of improvement will be computed.","From the simulations, PSOGA can improve optimal solution of PSO and the position of improvement is also determined by mutation probability. The small mutation probability gives smaller chance to the particle to explore and form new solution so that the position of improvement of small mutation probability is in middle of iteration. The large mutation probability gives larger chance to the particle to explore and form new solution so that the position of improvement of large mutation probability is in early of iteration.","Overall, the simulations show that PSOGA can improve optimal solution resulted by PSO and therefore it can give optimal cost spent by the company for the  planning.","Constrained Optimization, Genetic Algorithm, Linear Programming, Particle Swarm Optimization, Production Planning","Dinita Rahmalia, Teguh Herlambang, Thomy Eko Saputro","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/11799/8499,Fertilizer Production Planning Optimization Using Particle Swarm Optimization-Genetic Algorithm
"Requirement elicitation is the first step for any project. The available BI requirement elicitation approaches are focused more towards: the top pyramid of the management, less focus on the business aspect of an organization, historical in nature, emphasis on data mining and data warehousing aspects, no clear separation between requirements, and lack of proper linkage between the requirements.  The demand of BI shifts towards the operational front for last couple of years. The use of Operational BI is gaining more popularity among industry and business communities because of increased demand of real time BI.  It provides a powerful analysis of both operational and business information in current time for all levels of the users in the organization.","In the modern business environment, the business operates on networks that demands multi-level decision-making capabilities as compared to the traditional business approaches. Operational BI is one of the business information systems that support the modern business environment and provides timely decision-making information to all the users in the organization. The requirement elicitation methodology for Operational BI system is found open for research. A new approach for requirement elicitation for an Operational BI system is presented in this paper, which highly suits to the organizations in the modern business environment.",A top down technique is employed in the proposed requirements methodology that focuses on the business context of an organization. The proposed requirement elicitation approach is highly suited for the organizations that operate in the modern business environment. This approach overcomes several limitations in the existing BI requirement approaches. A case study is presented to support the proposed requirement elicitation approach for OBI system.,,"This approach has several advantages like fast development, clear definition, classification of various types of requirements and proper linkage between the requirements without any loss or missing of gathering requirements. Finally, it is to conclude that the proposed approach acts as a one-pot synthesis of requirements elicitation for Operational BI system.","Business Context, Business, Intelligence, Business Networks, Protocols, Modern Business, Environment, Operational Business, Intelligence    Requirement,  Elicitation, Requirement, Methodology",A.D.N. Sarma,"October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/13749/8500,One-Pot Synthesis of Requirements Elicitation for Operational BI (OBI) System: in the Context of the Modern Business Environment
"Information technology is developing rapidly over time, but there are many companies do not make use of it to support their operational activities. One example is the queue system in the Radiology Section of Sanglah Hospital, which operates the conventional queue system.",The problem occurs in this queue system is inefficient waiting time because the patients must come early and wait in line in the hospital waiting rooms. Many patients thereafter decide going home first or doing other activities. Another problem is it triggers double costs of transportation. The purpose of this study is to improve patients comfort while waiting in queue by applying untethering the queue. Untethering the queue is a service that allows people to be in a queue even though they are not in the waiting room.,The system applies the FCFS (First Come First Serve) algorithm to manage patients' queue and integrates this queue system with Telegram and SMS gateway. It makes patients easier to take queue numbers and receive notification of health service time from the Radiology Section of Sanglah Hospital.Result:  As a result of this study is an untethering the queue application which is web-based queue system integrated to Telegram and SMS gateway. The daily queue services in the Radiology Section of Hospital can be improved through this application.,,Patients can only come to the hospital when the queue numbers obtained nearly the health service time so that it leads to time efficient and comfort while waiting in queue.,"First Come First Serve, Multi Channel Access, SMS, Telegram, Untethering the Queue","Dharma Dyatmika, Oka Sudana, Gusti Agung A. Putri","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12572/8501,Untethering the Queue based on Multi Channel Access (MCA) Technology at Hospital Radiology Section
"The increasing usage and development of e-commerce in Indonesia, demands competition between e-commerce that exists. To be successful e-commerce should be balanced with a good information system. Some clinical research has established what factors that affected the success, including DeLone and McLean. According to their e-commerce success model, there are six variables that affect e-commerce success, system quality, information quality, service quality, use, user satisfaction, and net benefit","The study aims to analyze the relationship between system quality, information quality and service quality to user satisfaction and use. In addition, the study aims to analyze the relationship between user satisfaction and use to a net benefit.","This study draws on the DeLone and McLean Model of Information System (IS) success model. It is a quantitative study that was conducted in the form of a survey of 110 users of each Lazada, Bukalapak, and Shopee users.","By applying DeLone and McLean model, this findings confirmed four hypotheses were significant in Bukalapak, Lazada, and Shopee.","There were significant effect between the system quality on user satisfaction, service quality on use, service quality on user satisfaction and user satisfaction on net benefits. Meanwhile, system quality had insignificant effect to use and also information quality to use in Bukalapak, Lazada, and Shopee.","DeLone and McLean model,E-Commerce Success, Information System Success Measurement, IS Success Model","Ruth Johana Angelina, Aji Hermawan, Arif Imam Suroso","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/13579/8502,Analyzing E-Commerce Success using DeLone and McLean Model
"Semarang has broad area that cannot be covered entirely by single transportation mode. To reach a specific location, people often use more than one public transportation mode. Apart from Bus Rapid Transit, another exist namely angkot or city transportation. Multimodal traveler information is then  required to help passenger searching for a route. Several studies of multimodal traveler information system has been conducted, however the data model for multimodal transportation did not conceived in detail.","Proposes a database of multimodal transportation design using graph data model by taking Semarang as a case study.Method: We create our model in oriented entity-relationship diagram (O-ERD) and map this O-ERD to the graph database schema.Result: We develop our data model in graph database schema and we implement the model using Neo4J graph database for validation purpose. Our model consist of  three graph node label namely Shelter, Angkot Stopper, and Closer Place. To validate our model, we execute a search query using the Cypher query to look for location with closer place to it.",,,Our data model was successfully developed and implemented. Searching transportation route in the implementation of our model has been conducted using cypher query. It can successfully display all possible paths and routes. Our query can distinguish between one mode of transportation with another.,"Graph database, Multimodal transportation, Neo4j, Cypher","Panji Wisnu Wirawan, Djalal Er Riyanto, Dinar Mutiara Kusumo Nugraheni, Yasmin Yasmin","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/12013/8503,Graph Database Schema for Multimodal Transportation in Semarang
"The Rapid growth of technological developments in Indonesia had resulted in a growing amount of information. Therefore, a new information retrieval environment is necessary for finding documents that are in accordance with the user's information needs.",The purpose of this study is to uncover the differences between using Relevance Feedback (RF) with genetic algorithm and standard information retrieval systems without relevance feedback for the Indonesian language documents.,"The standard Information Retrieval (IR) System uses Sastrawi stemmer and Vector Space Model, while Genetic Algorithm-based (GA-based) relevance feedback uses Roulette-wheel selection and crossover recombination. The evaluation metrics are Mean Average Precision (MAP) and average recall based on user judgments.","By using two Indonesian language document datasets, namely abstract thesis and news dataset, the results show 15.2% and 28.6% increase in the corresponding MAP values for both datasets as opposed to the standard Information Retrieval System. A respective 7.1% and 10.5% improvement on the recall value at 10th position was also observed for both datasets. The best obtained genetic algorithm parameters for abstract thesis datasets were a population size of 20 with 0.7 crossover probability and 0.2 mutation probability, while for news dataset, the best obtained genetic algorithm parameters were a population size of 10 with 0.5 crossover probability and 0.2 mutation probability.","Genetic Algorithm-based relevance feedback increases both values of MAP and average recall at 10th position of retrieved document. Generally, the best genetic algorithm parameters are as follows, mutation probability is 0.2, whereas the size of population size and crossover probability depends on the size of dataset and length of the query.","Genetic Algorithm, Information Retrieval, Indonesian language document, Mean Average Precision, Relevance Feedback","Salman Dziyaul Azmi, Retno Kusumaningrum","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/13548/8504,Relevance Feedback using Genetic Algorithm on Information Retrieval for Indonesian Language Documents
"Nowadays, enterprise computing manages business processes which has grown up rapidly. This situation triggers the production of a massive event log. One type of event log is double timestamp event log. The double timestamp has a start time and complete time of each activity executed in the business process. It also has a close relationship with temporal causal relation. The temporal causal relation is a pattern of event log that occurs from each activity performed in the process.","In this paper, seven types of temporal causal relation between activities were presented as an extended version of relations used in the double timestamp event log. Since the event log was not always executed sequentially, therefore using temporal causal relation, the event log was divided into several small groups to determine the relations of activities and to mine the business process.","In these experiments, the temporal causal relation based on time interval which were presented in Gantt chart also determined whether each case could be classified as sequential or parallel relations. Then to obtain the business process, each temporal causal relation was combined into one business process based on the timestamp of activity in the event log.","The experimental results, which were implemented in two real-life event logs, showed that using temporal causal relation and double timestamp event log could discover business process models.","Considering the findings, this study concludes that business process models and their sequential and parallel AND, OR, XOR relations can be discovered by using temporal causal relation and double timestamp event log.","Business Process, Process Discovery, Process Mining, Temporal Causal Relation, Double Timestamp Event Log","Yutika Amelia Effendi, Nania Nuzulita","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/15040/8505,Process Discovery of Business Processes Using Temporal Causal Relation
"Given the digital transformation in currently emerging digital era in Financial Service Industry; marked by the rise of Fintech; Financial Service Authority (FSA) is challenged to mitigate new type of risks that are introduced by it. As first step, Indonesia FSA seeks for an effective and efficient way to present up-to-date Strategic Information to its Top Executive Leaders to enable informed strategic decision making.",This study aimed to find the solution to provide information strategic information to Indonesia FSA executives at any-time any-where. The researchers hypothesize that mobile Executive Information System could effectively serve the purpose.,"The research activities are laid out based on the Unified Process (UP) Methodology and use Unified Modelling Language (UML) diagrams to communicate the design. At the end of the study, a survey-based on TAM2 is conducted to confirm the study result. The survey is tested to measure its validity, reliability and correlation analysis using SPSS.",The study produce mobile executive information system (m-EIS) geared with the latest UI technology framework; Quasar; and microservice pattern. The m-EIS is deployed and implemented. The survey result shows the overall users' acceptance of the implementation.,The study recommends the further enhancement of m-EIS and highlights limitation of the current study for which future study could address and improve.,"Executive Information System, Financial Service Authority, Financial Service Industry, Hybrid Mobile Application, Unified Modelling Language, Unified Process","Dina Fitria Murad, Wirianto Widjaya, Dwi Rahmania Noviani, Nur Fitriyyah, Liany Minarni Saputri","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/15083/8506,Hybrid Mobile Executive Information (m-EIS) System Using Quasar Framework for Indonesia Financial Service Authority
"Drug sampling and testing in the context of post-marketing control is an important component to ensure drug safety in the supply chains. The results are used by the Indonesian National Agency for Drug and Food Control (NA-FDC) for conducting public warnings, evaluating the Good Manufacturing Practice (GMP) and Good Distribution Practice (GDP) implementation, and enforcing the law against drug violation.",This study aimed to identify and analyze drug distribution patterns to provide an overview of drug sampling in the public sector.,"The data was collected from Balai Besar Pengawas Obat dan Makanan (BBPOM) Palangka Raya's database. The collected data were the drug sampling data from Integrated Information Reporting Systems (IIRS) application from 2014 to 2018. Next, we employed CRISP-DM methodology to analyze the data and to identify the pattern. K-means clustering model was selected for data modeling.","The dataset contained five attributes, i.e., drug name, therapeutic classes, district/city, sample category, and evaluation of drug surveillance. The drug distribution pattern formed three clusters. First cluster contained 522 drug items in eight therapeutic classes and spread over ten districts, second cluster contained 1542 drug items in five therapeutic classes and spread over five districts, and third cluster contained 503 drug items in eleven therapeutic classes and spread across nine districts.","To conclude, the applied data mining technique has improved the decision on the drug sampling planning. It also provides in-depth information on the improvement of drug post-marketing control performance in Central Kalimantan Province.","Clustering, CRISP-DM, Data Mining, Drug distribution patterns, Drug quality control, Drug sampling","Wahyuri Wahyuri, Umi Athiyah, Ira Puspitasari, Yunita Nita","October 24, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/14794/8507,"Clustering of Drug Sampling Data to Determine Drug Distribution Patterns with K-Means Method : Study on Central Kalimantan Province, Indonesia"
N/A,N/A,N/A,N/A,N/A,N/A,Front and Back Matters,"October 28, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/18882/10279,Front Matters
N/A,N/A,N/A,N/A,N/A,N/A,Front and Back Matters,"October 28, 2015",https://e-journal.unair.ac.id/JISEBI/article/view/18903/10280,Back Matters
"For many years, researches on Business Intelligence (BI) development have been popular in primary industry (trading, telecommunication, and manufacturing). Nevertheless, the academic sector has not been the primary beneficiary. This lack of practices also means there has been limited knowledge relating to the development of BI in the academic sector","This study presents the development of an Academic Business Intelligence (ABI). Taking an actual ABI development project in a small and medium-sized university in Indonesia context, it specifically sought to understand as to why the university needed an ABI and how it could be developed within the limited resources (funding, IT infrastructure and expertise).","Following the business intelligence development roadmap, this study was able to develop an ABI as an attempt to provide a smart way for generating valuable information from scattered data interactively. It also successfully deployed the newly developed ABI into the existing IT legacy and then run a series of pilot testing involving the intended users.","The results showed the acceptance rate was high (87.25%) and suggested that the system found to be usable for conducting students' performance assessment and decision making faster. In short, this study contributes to the growing body of BI development literature by providing empirical evidence on how to successfully develop a BI within the unique context of the academic sector.","Considering the findings, this study also draws practical recommendations and highlights a few limitations from which future study could address, especially when developing BI or similar ABI in particular.",N/A,Wahyudi Agustiono,"April 25, 2019",https://e-journal.unair.ac.id/JISEBI/article/view/10302/7358,Academic Business Intelligence: Can a Small and Medium-sized University Afford to Build and Deploy it within Limited Resources?
